INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
MONTROSE AND WESTERN,1221.0,4400 N WESTERN AVENUE,06/02/2018,9,1159539.733234718,1929183.9180955018,41.961401846,-87.688832623,"(41.961401846278505, -87.6888326227788)"
AUSTIN AND IRVING PARK,1161.0,4000 N AUSTIN AVENUE,06/02/2018,1,1135599.956110927,1926006.8626199858,41.953144059,-87.776925284,"(41.95314405904539, -87.77692528423394)"
CICERO AND NORTH,2034.0,4800 W NORTH AVENUE,06/02/2018,5,1144053.7337471629,1910243.80567041,41.90973389,-87.74624497299999,"(41.909733890131285, -87.74624497295898)"
BELMONT AND KEDZIE,1372.0,3200 N KEDZIE AVE,06/02/2018,31,1154426.977874407,1921110.4665495418,41.93935173,-87.707846594,"(41.93935173030961, -87.70784659359776)"
FULLERTON AND NARRAGANSETT,1553.0,6400 W FULLERTON AVENU,06/02/2018,1,1133317.594499059,1915293.661305931,41.923786189,-87.78556720600001,"(41.92378618871128, -87.78556720562165)"
STONEY ISLAND AND 79TH,2461.0,7900 S SOUTH CHICAGO AVE,06/02/2018,1,1188274.655498937,1852865.6857978918,41.751339705,-87.585632266,"(41.751339704589455, -87.58563226565187)"
VAN BUREN AND WESTERN,2054.0,2400 W VAN BUREN STREE,06/02/2018,11,,,,,
IRVING PARK AND LARAMIE,1533.0,5200 W IRVING PARK ROA,06/02/2018,5,,,,,
STONY ISLAND/CORNELL AND 67TH,2731.0,6700 S CORNELL DRIVE,06/02/2018,14,1188316.454860734,1860851.137456735,41.77325149,-87.58522459999999,"(41.77325148959568, -87.58522459967712)"
CICERO AND DIVERSEY,1691.0,2800 N CICERO AVENUE,06/02/2018,9,1143863.647574835,1918202.0184634142,41.931575608,-87.74674330100001,"(41.93157560844622, -87.74674330113561)"
STATE AND 79TH,2654.0,1 E 79TH STREET,06/02/2018,66,1177680.113652821,1852598.313477786,41.750852095999996,-87.624463832,"(41.75085209551078, -87.62446383210285)"
CENTRAL AND DIVERSEY,1644.0,5600 W DIVERSEY AVENUE,06/02/2018,1,1138539.758528398,1918097.096677271,41.931385977,-87.766310532,"(41.93138597683265, -87.76631053155157)"
KEDZIE AND 47TH,2104.0,3200 W 47TH ST,06/02/2018,2,1155815.231505056,1873336.169728074,41.808226246,-87.70403167200001,"(41.808226246244026, -87.70403167215984)"
CENTRAL AND IRVING PARK,1183.0,5600 W IRVING PARK ROAD,06/02/2018,1,1138281.535484986,1926078.647777633,41.953292847,-87.76706570799999,"(41.953292847298, -87.76706570775266)"
IRVING PARK AND LARAMIE,1534.0,5200 W IRVING PARK ROA,06/02/2018,3,,,,,
ELSTON AND IRVING PARK,1503.0,3700 W IRVING PARK ROA,06/02/2018,8,,,,,
CORTLAND AND ASHLAND,1723.0,1600 W CORTLAND ST,06/02/2018,1,1165377.660768235,1912768.773647285,41.916235336999996,-87.66783777200001,"(41.91623533746878, -87.66783777212962)"
CLARK AND IRVING PARK,1093.0,1300 W IRVING PARK ROAD,06/02/2018,3,1166777.545456989,1926719.73687357,41.954487567,-87.662293496,"(41.95448756687966, -87.66229349585691)"
ASHLAND AND MADISON,1911.0,0 N ASHLAND AVE,06/02/2018,2,,,,,
WESTERN AND 79TH,2481.0,7900 S WESTERN AVE,06/02/2018,8,1161711.516404028,1852181.6856861182,41.750054934,-87.682992203,"(41.750054933649984, -87.68299220290213)"
CALIFORNIA AND DEVON,1321.0,6400 N CALIFORNIA AVE,06/02/2018,3,1156461.1502454008,1942370.37710537,41.997649133,-87.699792629,"(41.997649133049336, -87.69979262891378)"
63RD AND STATE,2712.0,6300 S STATE ST,06/02/2018,16,1177303.801895084,1863220.2167559231,41.780008277,-87.625522512,"(41.78000827740796, -87.6255225119157)"
ROOSEVELT AND PULASKI,2311.0,1200 S PULASKI ROAD,06/02/2018,3,1149866.0022478641,1894375.839200384,41.866079336999995,-87.725305995,"(41.86607933722178, -87.7253059948758)"
WESTERN AND DEVON,1211.0,6400 N WESTERN AVENUE,06/02/2018,1,1159113.5857594342,1942451.622367891,41.997817807,-87.690033035,"(41.997817807026, -87.69003303469276)"
TOUHY AND OSCEOLA,1243.0,7432 W TOUHY AVENUE,06/02/2018,3,1125717.010560011,1947269.685461107,42.011661765,-87.812781431,"(42.01166176507329, -87.81278143114147)"
55TH AND WESTERN,2213.0,2400 W 55TH STREET,06/02/2018,6,1161277.0127305991,1868185.749490228,41.793981347,-87.684141741,"(41.7939813465735, -87.68414174128355)"
ADDISON AND HARLEM,1591.0,3600 N HARLEM AVENUE,06/02/2018,2,1127394.594070737,1923110.532422811,41.945338412,-87.807154769,"(41.94533841246591, -87.80715476912044)"
MILWAUKEE AND MONTROSE,1364.0,5075 W MONTROSE AVENUE,06/02/2018,4,1141716.746618898,1928736.076639057,41.960522088000005,-87.754371424,"(41.96052208819935, -87.75437142402293)"
DIVISION AND DAMEN,1734.0,2000 W DIVISION,06/02/2018,15,1162815.7108601942,1908034.672555531,41.903298793000005,-87.67738324700001,"(41.903298792681944, -87.67738324739636)"
WENTWORTH AND GARFIELD,2264.0,200 W GARFIELD BLVD,06/02/2018,3,1175889.574397302,1868551.750512227,41.794670385,-87.630547476,"(41.79467038468937, -87.63054747605638)"
HARLEM AND BELMONT,1394.0,7200 W BELMONT AVE,06/02/2018,2,1127504.698153561,1920475.4154408441,41.938105479,-87.806809552,"(41.93810547939496, -87.80680955240743)"
CICERO AND FULLERTON,1472.0,2400 N CICERO AVE,06/02/2018,8,1143961.592189569,1915545.343094087,41.92428359,-87.74645019,"(41.92428358982701, -87.74645019028947)"
PULASKI AND 63RD,2342.0,6300 S PULASKI RD,06/02/2018,4,1150746.00309079,1862516.747695325,41.778636469,-87.72290635600001,"(41.77863646878099, -87.72290635568541)"
119TH AND HALSTED,2402.0,11900 S HALSTED,06/02/2018,3,1173094.774616191,1825911.054609338,41.677720829,-87.642051845,"(41.67772082924762, -87.64205184498218)"
ASHLAND AND IRVING PARK,1151.0,4000 N ASHLAND AVENUE,06/02/2018,3,1164899.463802581,1926665.661118925,41.954379326,-87.66919912,"(41.954379326212695, -87.66919911980419)"
IRVING PARK AND CALIFORNIA,1234.0,2800 W IRVING PARK ROA,06/02/2018,11,,,,,
HALSTED AND MADISON,1871.0,1 S HALSTED STREET,06/02/2018,2,1171092.392868784,1900234.542088741,41.881717056,-87.647210539,"(41.88171705561901, -87.64721053920604)"
CENTRAL AND BELMONT,1604.0,5600 W BELMONT AVENUE,06/02/2018,3,1138453.617438343,1920755.972768412,41.938683775,-87.766562494,"(41.93868377475747, -87.76656249384537)"
ADDISON AND HARLEM,1593.0,7200 W ADDISON,06/02/2018,2,1127417.488447099,1923123.407710965,41.945373358000005,-87.807070326,"(41.94537335809189, -87.80707032561135)"
HAMLIN AND LAKE,1881.0,300 N HAMLIN AVENUE,06/02/2018,7,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)"
STONY ISLAND/CORNELL AND 67TH,2721.0,6700 S STONY ISLAND A,06/02/2018,13,1187984.143047539,1860863.338367666,41.773292896,-87.586442368,"(41.77329289585066, -87.58644236831432)"
FOSTER AND NORTHWEST HIGHWAY,3003.0,5616 W FOSTER AVE,06/02/2018,4,1137626.093281239,1934273.239128334,41.97579142,-87.769276893,"(41.975791419680704, -87.76927689293382)"
RIDGE AND CLARK,1052.0,5930 N CLARK STREET,06/02/2018,2,1164554.784723473,1939388.5115164418,41.98929863,-87.67010412100001,"(41.98929863013193, -87.67010412112992)"
MICHIGAN AND JACKSON,3043.0,100 E JACKSON BLVD,06/02/2018,2,1177358.4278512679,1899073.064228489,41.878390124,-87.624237311,"(41.87839012377354, -87.62423731128155)"
CENTRAL AND CHICAGO,1972.0,800 N CENTRAL AVENUE,06/02/2018,6,1138836.562608552,1904801.732832435,41.894896579,-87.765543258,"(41.89489657939746, -87.76554325845893)"
87TH AND VINCENNES,2412.0,8700 S VINCENNES,06/02/2018,8,1172026.328989535,1847142.4966437758,41.736006565,-87.645341819,"(41.73600656458518, -87.64534181897955)"
PULASKI AND LAWRENCE,1173.0,4000 W LAWRENCE AVENUE,06/02/2018,2,1148844.2200856009,1931638.45430438,41.968351285,-87.728091672,"(41.96835128527914, -87.72809167198088)"
WESTERN AND NORTH,1851.0,1600 N WESTERN AVE,06/02/2018,9,1160077.474351131,1910605.013316134,41.910409024,-87.687370268,"(41.91040902362901, -87.687370268401)"
ELSTON AND LAWRENCE,1284.0,4440 W LAWRENCE AVENUE,06/02/2018,10,1145715.061027481,1931571.0474838002,41.968226398,-87.739599251,"(41.96822639754791, -87.73959925065756)"
KEDZIE AND 26TH,2381.0,2600 S KEDZIE AVENUE,06/02/2018,2,1155404.235510285,1886524.460033054,41.844424831,-87.70518545200001,"(41.84442483084393, -87.70518545233183)"
PULASKI AND ARCHER,2154.0,5000 S ARCHER AVE,06/02/2018,1,1150501.818909837,1871162.311703322,41.802365973,-87.72357676600001,"(41.80236597333895, -87.72357676611004)"
DIVERSEY AND WESTERN,1434.0,2400 W DIVERSEY AVENUE,06/02/2018,2,1159859.6484238359,1918576.255784305,41.932287183,-87.687950093,"(41.93228718299094, -87.6879500934122)"
LAWRENCE AND CICERO,1041.0,4800 N CICERO AVE,06/02/2018,8,1143464.651785526,1931490.5518832032,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)"
WESTERN AND CHICAGO,1943.0,2400 W CHICAGO AVE,06/02/2018,2,1160226.686812944,1905300.904544474,41.895851041,-87.686968935,"(41.895851041123755, -87.68696893468467)"
CICERO AND ADDISON,1611.0,3600 N CICERO AVENUE,06/02/2018,9,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)"
PULASKI AND FOSTER,1102.0,5200 N PULASKI RD,06/02/2018,4,1148746.251286324,1934286.9143619759,41.97562074,-87.728383135,"(41.97562073966174, -87.72838313514907)"
CLARK AND IRVING PARK,1091.0,4000 N CLARK STREET,06/02/2018,3,1166736.149822904,1926699.3236247092,41.954432441,-87.66244625899999,"(41.95443244141688, -87.66244625914061)"
4700 WESTERN,2142.0,4700 S WESTERN AVENUE,06/02/2018,1,1161120.438879703,1873431.066474726,41.808378408,-87.68457071700001,"(41.808378407946726, -87.68457071689552)"
KOSTNER AND NORTH,2012.0,4400 W GRAND AVE,06/02/2018,7,1146773.519128439,1910425.663958581,41.91018141,-87.73624887,"(41.910181409597406, -87.73624887040725)"
ASHLAND AND MADISON,1914.0,1600 W MADISON,06/02/2018,3,1165723.014733182,1900136.5154895058,41.881564167,-87.66692946299999,"(41.8815641670199, -87.66692946294842)"
31ST ST AND MARTIN LUTHER KING DRIVE,2121.0,3100 S DR MARTIN L KING,06/02/2018,4,,,,,
KOSTNER AND NORTH,2011.0,1600 N KOSTNER,06/02/2018,3,1146732.108679105,1910282.120990798,41.909788304,-87.736404667,"(41.90978830394343, -87.73640466739216)"
WESTERN AND FULLERTON,1671.0,2400 N WESTERN AVENUE,06/02/2018,18,1159923.309342995,1915897.778561358,41.924935944,-87.687790255,"(41.92493594409127, -87.68779025471278)"
DAMEN AND DIVERSEY,1464.0,2000 W DIVERSEY PARKWAY,06/02/2018,1,1162519.714934025,1918635.417634925,41.932394164,-87.678173031,"(41.93239416403691, -87.67817303087757)"
CICERO AND PETERSON,1202.0,6000 N CICERO AVENUE,06/02/2018,5,1143247.733553094,1939479.3429057042,41.989973915,-87.74847302399999,"(41.98997391514614, -87.74847302426933)"
55TH AND KEDZIE,2163.0,3200 W 55TH STREET,06/02/2018,3,1155966.956993183,1868015.593764152,41.793622803000005,-87.703618141,"(41.79362280329978, -87.70361814062049)"
FOSTER AND BROADWAY,1111.0,5200 N BROADWAY ST,06/02/2018,2,1167334.508577915,1934714.0083465318,41.976412143000005,-87.660015082,"(41.97641214294823, -87.66001508205365)"
WESTERN AND CHICAGO,1941.0,800 N WESTERN AVE,06/02/2018,3,1160220.9679786079,1905277.507115921,41.895786955,-87.68699058600001,"(41.89578695485361, -87.68699058611217)"
KEDZIE AND 26TH,2382.0,2600 S KEDZIE AVENUE,06/02/2018,2,1155404.235510285,1886524.460033054,41.844424831,-87.70518545200001,"(41.84442483084393, -87.70518545233183)"
119TH AND HALSTED,2404.0,800 W 119TH STREET,06/02/2018,5,1173111.174088158,1825985.001014405,41.677923389,-87.641989646,"(41.677923389134385, -87.64198964584013)"
FULLERTON AND NARRAGANSETT,1554.0,6400 W FULLERTON AVENU,06/02/2018,10,1133317.594499059,1915293.661305931,41.923786189,-87.78556720600001,"(41.92378618871128, -87.78556720562165)"
KIMBALL AND DIVERSEY,1581.0,2800 N KIMBALL AVENUE,06/02/2018,2,,,,,
HARLEM AND BELMONT,1391.0,3200 N HARLEM AVE,06/02/2018,3,1127481.020995451,1920467.613239239,41.938084468,-87.80689674899999,"(41.93808446822169, -87.80689674887883)"
MICHIGAN AND ONTARIO,3082.0,628 N MICHIGAN AVE,06/02/2018,21,1177278.716938521,1904554.133997858,41.893432274,-87.624363719,"(41.893432274200684, -87.62436371928398)"
ASHLAND AND FULLERTON,1652.0,2400 N ASHLAND AVENUE,06/02/2018,11,1165228.0733428379,1916032.319169157,41.92519389,-87.66829436299999,"(41.92519388981048, -87.66829436339881)"
CALIFORNIA AND DEVON,1323.0,2800 W DEVON AVENUE,06/02/2018,2,1156484.528078038,1942377.980662191,41.997669523,-87.699706423,"(41.99766952286052, -87.69970642324591)"
35TH AND WESTERN,2091.0,3500 S WESTERN,06/02/2018,6,1160894.9498571008,1881376.851112895,41.830187255,-87.685177925,"(41.83018725526863, -87.68517792510231)"
FOSTER AND NAGLE,1031.0,5200 N NAGLE,06/02/2018,12,1132529.656558223,1934201.702060651,41.97568567,-87.788020406,"(41.97568566971868, -87.78802040620296)"
DAMEN AND ELSTON,3072.0,2426 N DAMEN AVE,06/02/2018,13,1162561.16172213,1916207.783017816,41.925731714,-87.678088896,"(41.925731713685686, -87.67808889622799)"
PULASKI AND 79TH,2494.0,4000 W 79TH STREET,06/02/2018,1,1151074.116357501,1851966.830243835,41.749679359,-87.721978345,"(41.74967935883473, -87.72197834524168)"
LASALLE AND KINZIE,1923.0,140 W KINZIE,06/02/2018,7,1175048.09765242,1903028.8947602941,41.889297219,-87.63260164799999,"(41.88929721947309, -87.63260164817305)"
STONEY ISLAND AND 76TH,2632.0,7600 S STONY ISLAND A,06/02/2018,23,1188092.796191935,1854889.3541583042,41.756897173,-87.586234285,"(41.75689717260223, -87.58623428506996)"
CICERO AND CHICAGO,1781.0,800 N CICERO AVENUE,06/02/2018,11,1144169.162482127,1904893.189220372,41.895049038,-87.74595551600001,"(41.89504903796389, -87.74595551626888)"
71ST AND ASHLAND,2391.0,7100 S ASHLAND,06/02/2018,2,1166868.379865725,1857616.168087255,41.764859382,-87.663940176,"(41.764859382425385, -87.66394017630476)"
MILWAUKEE AND DEVON,1272.0,6400 N MILWAUKEE AVEN,06/02/2018,2,1132463.750397878,1942107.9115076268,41.997382173000005,-87.788077674,"(41.99738217345368, -87.78807767391953)"
PULASKI AND FULLERTON,1481.0,2400 N PULASKI RD,06/02/2018,1,1149275.963864089,1915687.6319317569,41.924572574,-87.726919111,"(41.92457257416937, -87.72691911144182)"
ASHLAND AND 95TH,2473.0,1600 W 95TH STREET,06/02/2018,8,1167323.753394196,1841755.0292213818,41.721324412,-87.662724153,"(41.721324411975246, -87.66272415265087)"
LAFAYETTE AND 87TH,2503.0,30 W 87TH STREET,06/02/2018,37,1177407.6518002371,1847320.7720583118,41.736376037,-87.625621311,"(41.736376036604916, -87.62562131092602)"
ASHLAND AND 87TH,2454.0,1600 W 87TH ST,06/02/2018,7,1167171.941297436,1847064.855345151,41.735898617,-87.663128781,"(41.735898617066006, -87.66312878090133)"
WESTERN AND 63RD,2371.0,6300 S WESTERN AVE,06/02/2018,1,1161415.712688877,1862772.38856596,41.779123484,-87.683783099,"(41.77912348383963, -87.68378309863576)"
35TH AND WESTERN,2092.0,3500 S WESTERN,06/02/2018,4,1160894.9498571008,1881376.851112895,41.830187255,-87.685177925,"(41.83018725526863, -87.68517792510231)"
CENTRAL AND ADDISON,1683.0,5600 W ADDISON STREET,06/02/2018,2,1138349.6633025021,1923416.02157061,41.945985104,-87.76687995200001,"(41.94598510430888, -87.76687995165918)"
KOSTNER AND NORTH,2013.0,4400 W NORTH,06/02/2018,11,1146738.551618032,1910309.5953680319,41.909863573,-87.73638029600001,"(41.90986357340246, -87.73638029605371)"
HAMLIN AND MADISON,1901.0,0 N HAMLIN BOULEVARD,06/02/2018,10,,,,,
VAN BUREN AND WESTERN,2052.0,400 S WESTERN AVENUE,06/02/2018,46,1160431.682297829,1898091.9423715891,41.876064776,-87.686415631,"(41.87606477642526, -87.68641563098768)"
LAWRENCE AND CICERO,1042.0,4800 N CICERO AVENUE,06/02/2018,13,1143464.651785526,1931490.5518832032,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)"
79TH AND HALSTED,2543.0,800 W 79TH STREET,06/02/2018,1,1172320.105719411,1852517.9814433998,41.750751156999996,-87.64410779299999,"(41.75075115747316, -87.64410779300933)"
STONEY ISLAND AND 79TH,2464.0,1600 E 79TH ST,06/02/2018,6,1188284.704439907,1852964.829047574,41.751611523,-87.585592284,"(41.75161152327319, -87.58559228428787)"
CICERO AND NORTH,2033.0,4800 W NORTH AVENUE,06/02/2018,5,1144053.7337471629,1910243.80567041,41.90973389,-87.74624497299999,"(41.909733890131285, -87.74624497295898)"
ASHLAND AND FULLERTON,1651.0,2400 N ASHLAND AVENUE,06/02/2018,20,1165228.0733428379,1916032.319169157,41.92519389,-87.66829436299999,"(41.92519388981048, -87.66829436339881)"
71ST AND ASHLAND,2394.0,1600 W 71ST,06/02/2018,3,1166890.012333149,1857674.2502246997,41.765018306,-87.66385923,"(41.76501830555763, -87.66385923012646)"
HALSTED AND DIVISION,1714.0,800 W DIVISION,06/02/2018,5,1170767.827960358,1908259.6441516618,41.903745557,-87.648167011,"(41.90374555734733, -87.64816701062779)"
HALSTED AND 95TH,2582.0,9500 S HALSTED STREET,06/02/2018,2,1172610.538363645,1841811.61926207,41.721365061,-87.643358042,"(41.72136506078306, -87.64335804234075)"
CICERO AND ARMITAGE,2003.0,4800 W ARMITAGE AVENUE,06/02/2018,4,1144054.25126508,1912907.00926109,41.917041992,-87.746176095,"(41.91704199201953, -87.74617609464687)"
55TH AND WESTERN,2212.0,5500 S WESTERN AVE,06/02/2018,8,1161269.521335262,1867963.111601251,41.793370554,-87.684175377,"(41.79337055433029, -87.6841753767592)"
HAMLIN AND MADISON,1903.0,3800 W MADISON STREET,06/02/2018,4,1151032.709141294,1899784.033986533,41.880897273,-87.720881226,"(41.880897273491264, -87.72088122613924)"
DAMEN AND 63RD,2702.0,6300 S DAMEN AVENUE,06/02/2018,12,1164069.4079432979,1862830.277442834,41.779226920999996,-87.674052731,"(41.77922692069256, -87.67405273137854)"
MILWAUKEE AND CENTRAL,3022.0,5232 N MILWAUKEE AVE,06/02/2018,4,1138074.161743901,1934115.431678809,41.975350275,-87.767632985,"(41.97535027477604, -87.76763298459159)"
ARCHER AND CICERO,2084.0,5400 S ARCHER AVE,06/02/2018,3,1145209.426392053,1869810.657411975,41.798758208,-87.743020541,"(41.798758207843264, -87.74302054146467)"
HAMLIN AND LAKE,1882.0,300 N HAMLIN AVENUE,06/02/2018,4,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)"
PETERSON AND WESTERN,1014.0,2400 W PETERSON,06/02/2018,10,1159214.211316277,1939825.301874586,41.99060901,-87.689735481,"(41.990609009807294, -87.68973548092968)"
KEDZIE AND 63RD,2364.0,3200 W 63RD ST,06/02/2018,5,1156103.348831225,1862717.5652107392,41.779081505,-87.703260365,"(41.77908150488341, -87.70326036544745)"
HOLLYWOOD AND SHERIDAN,1343.0,1000 W HOLLYWOOD AVE,06/02/2018,6,1168580.2289264658,1938090.295189338,41.985649799,-87.65533580700001,"(41.98564979859328, -87.65533580655139)"
ASHLAND AND IRVING PARK,1153.0,1600 W IRVING PARK ROA,06/02/2018,2,,,,,
CICERO AND WASHINGTON,1891.0,100 N CICERO AVENUE,06/02/2018,8,1144328.984091479,1900095.1708384592,41.88187971,-87.74548924700001,"(41.88187970991601, -87.7454892473012)"
LASALLE AND KINZIE,1921.0,400 N LASALLE,06/02/2018,7,1175028.579766798,1903002.552291359,41.889225372,-87.632674115,"(41.88922537162015, -87.63267411498495)"
COLUMBUS AND ILLINOIS,1952.0,500 N COLUMBUS DRIVE,06/02/2018,5,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)"
79TH AND HALSTED,2541.0,7900 S HALSTED STREET,06/02/2018,4,1172298.707400847,1852444.344822186,41.750549559,-87.64418836799999,"(41.750549559438944, -87.64418836784098)"
KEDZIE AND ARMITAGE,1832.0,2000 N KEDZIE AVENUE,06/02/2018,7,1154684.031809326,1913129.496340896,41.917446172,-87.707116072,"(41.91744617191702, -87.70711607187832)"
ASHLAND AND LAWRENCE,1143.0,1600 W LAWRENCE AVENUE,06/02/2018,5,1164771.946929007,1931988.254061312,41.968987457,-87.66951630700001,"(41.96898745654617, -87.66951630654926)"
ROOSEVELT AND PULASKI,2314.0,4000 W ROOSEVELT ROAD,06/02/2018,8,1149885.032049683,1894449.4640768818,41.866281003000005,-87.72523422,"(41.866281002664536, -87.72523421983905)"
CENTRAL AND CHICAGO,1973.0,5600 W CHICAGO AVENUE,06/02/2018,6,1138858.856732452,1904825.827586656,41.894962293,-87.76546079100001,"(41.89496229349977, -87.76546079122906)"
CORTLAND AND ASHLAND,1721.0,1900 N ASHLAND AVE,06/02/2018,20,1165348.084854857,1912736.4543355692,41.916147281,-87.66794735399999,"(41.91614728095272, -87.66794735350443)"
WESTERN AND FOSTER,1072.0,5200 N WESTERN AVE,06/02/2018,5,1159372.922497116,1934478.3136740031,41.975933372,-87.689299589,"(41.97593337199358, -87.6892995891816)"
ASHLAND AND DIVISION,1791.0,1200 N ASHLAND AVENUE,06/02/2018,8,1165466.997046718,1908083.767015974,41.903377468,-87.667643142,"(41.903377467566784, -87.66764314227497)"
WESTERN AND ADDISON,1562.0,3600 N WESTERN AVENUE,06/02/2018,9,1159695.573342728,1923871.086283556,41.94681992,-87.688406662,"(41.94681991986288, -87.68840666206194)"
CICERO AND 47TH,2204.0,4800 W 47TH ST,06/02/2018,13,1145130.0489257441,1873078.44198302,41.807727017,-87.74322936600001,"(41.80772701677172, -87.74322936566276)"
CICERO AND DIVERSEY,1694.0,4800 W DIVERSEY AVENUE,06/02/2018,1,1143869.848167704,1918226.043989398,41.93164142,-87.746719911,"(41.93164142040689, -87.7467199106462)"
CICERO AND ARMITAGE,2001.0,2000 N CICERO AVENUE,06/02/2018,2,1144031.525719004,1912881.8300294997,41.916973325,-87.746260223,"(41.91697332451097, -87.74626022251057)"
CALIFORNIA AND DIVERSEY,1513.0,2800 W DIVERSEY,06/02/2018,1,1157212.54253358,1918526.6744349431,41.932205395,-87.697679244,"(41.93220539506452, -87.6976792438691)"
ROOSEVELT AND KOSTNER,2321.0,1200 S KOSTNER,06/02/2018,1,1147196.304001978,1894305.8832697459,41.865938839,-87.735108549,"(41.8659388389088, -87.73510854901264)"
CICERO AND WASHINGTON,1892.0,100 N CICERO AVENUE,06/02/2018,4,1144328.984091479,1900095.1708384592,41.88187971,-87.74548924700001,"(41.88187970991601, -87.7454892473012)"
HOLLYWOOD AND SHERIDAN,1344.0,1000 W HOLLYWOOD AVE,06/02/2018,24,1168580.2289264658,1938090.295189338,41.985649799,-87.65533580700001,"(41.98564979859328, -87.65533580655139)"
ARCHER AND CICERO,2081.0,5200 S CICERO AVE,06/02/2018,25,1145195.9319897771,1869737.7083066232,41.798558278,-87.74307186600001,"(41.798558278193305, -87.74307186616427)"
LAFAYETTE AND 87TH,2502.0,8700 S LAFAYETTE AVEN,06/02/2018,25,1177417.493180297,1847243.988223464,41.73616511,-87.62558756899999,"(41.73616511008592, -87.62558756899932)"
DIVERSEY AND AUSTIN,1454.0,6000 W DIVERSEY AVENUE,06/02/2018,4,1135895.7361693429,1918029.70673837,41.931248624,-87.776028612,"(41.931248623643455, -87.77602861172493)"
HOMAN/KIMBALL AND NORTH,1773.0,3400 W NORTH AVE,06/02/2018,12,1153386.578905125,1910465.87061722,41.910162846999995,-87.711953868,"(41.91016284680269, -87.71195386769125)"
KIMBALL AND DIVERSEY,1583.0,3400 W DIVERSEY AVENUE,06/02/2018,5,1153211.149172713,1918454.477800566,41.932087747,-87.71238583,"(41.932087747378944, -87.71238582951281)"
WESTERN AND 79TH,2484.0,2400 W 79TH ST,06/02/2018,1,1161758.68085177,1852242.255513454,41.750220168,-87.68281769299999,"(41.75022016799851, -87.68281769253687)"
CICERO AND CHICAGO,1783.0,4800 W CHICAGO AVENUE,06/02/2018,2,1144175.291152764,1904916.2552252791,41.895112219,-87.74593242700001,"(41.89511221857764, -87.74593242701515)"
99TH AND HALSTED,2431.0,9900 S HALSTED ST,06/02/2018,15,1172689.754200318,1839171.652197216,41.714118868,-87.643145408,"(41.714118868089905, -87.64314540818165)"
HALSTED AND MADISON,1872.0,1 N HALSTED STREET,06/02/2018,7,1171090.967986833,1900270.454015136,41.881815632,-87.64721471700001,"(41.88181563164203, -87.64721471704077)"
LAWRENCE AND WESTERN,1193.0,2400 W LAWRENCE AVENUE,06/02/2018,4,1159482.648570304,1931851.989492596,41.968724349,-87.688968727,"(41.96872434882172, -87.68896872699601)"
PULASKI AND CHICAGO,1982.0,800 N PULASKI ROAD,06/02/2018,3,1149538.444844035,1905079.034990625,41.895456456999995,-87.726230541,"(41.895456456825386, -87.72623054051289)"
COLUMBUS AND ILLINOIS,1951.0,500 N COLUMBUS DRIVE,06/02/2018,5,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)"
PULASKI AND IRVING PARK,1572.0,4000 N PULASKI ROAD,06/02/2018,6,1148970.255325552,1926313.600468643,41.953737051,-87.72776661200001,"(41.95373705144353, -87.72776661179896)"
HALSTED AND DIVISION,1711.0,1200 N HALSTED,06/02/2018,9,1170746.639428735,1908242.256010774,41.903698308,-87.648245351,"(41.90369830765008, -87.64824535062563)"
IRVING PARK AND KILPATRICK,2764.0,4700 W IRVING PARK ROA,06/02/2018,3,,,,,
KEDZIE AND ARMITAGE,1834.0,3200 W ARMITAGE AVENUE,06/02/2018,3,1154700.851347995,1913153.252187904,41.917511023,-87.707053639,"(41.91751102291878, -87.7070536388797)"
79TH AND KEDZIE,2443.0,3200 W 79TH ST,06/02/2018,4,1156402.644780165,1852104.6493709842,41.749952001,-87.702448478,"(41.74995200142266, -87.70244847808695)"
KEDZIE AND 71ST,2352.0,7100 S KEDZIE AVENUE,06/02/2018,2,1156225.540366296,1857330.103443232,41.764295037,-87.702957162,"(41.764295036756856, -87.70295716211793)"
LAKE SHORE DR AND BELMONT,1412.0,3200 N LAKESHORE DRIV,06/02/2018,6,1173053.220555078,1921821.380831705,41.940909163,-87.63936916,"(41.94090916326764, -87.63936915995522)"
LARAMIE AND MADISON,2044.0,5200 W MADISON STREET,06/02/2018,6,1141706.965522802,1899567.55684314,41.880480752,-87.75513043299999,"(41.88048075170171, -87.75513043296509)"
WESTERN AND MARQUETTE,2674.0,2400 W MARQUETTE ROAD,06/02/2018,4,1161509.889315231,1860208.6274041259,41.772086214,-87.683508858,"(41.772086214104526, -87.68350885781568)"
WESTERN AND DEVON,1212.0,6400 N WESTERN AVENUE,06/02/2018,3,1159113.5857594342,1942451.622367891,41.997817807,-87.690033035,"(41.997817807026, -87.69003303469276)"
